Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49
[[ 69. 352.]],[[ 45. 307.]],[[421. 162.]],[[115. 399.]],[[420. 162.]],[[420. 161.]],[[124. 404.]],[[115. 399.]],[[433. 209.]],[[ 36. 278.]],[[414. 149.]],[[435. 221.]],[[414. 149.]],[[435. 221.]],[[ 36. 279.]],[[124. 404.]],[[433. 210.]],[[429. 189.]],[[398. 121.]],[[414. 149.]],[[ 32. 237.]],[[410. 140.]],[[114. 398.]],[[414. 149.]],[[414. 149.]],[[429. 188.]],[[429. 189.]],[[433. 209.]],[[114. 398.]],[[420. 161.]],[[114. 398.]],[[425. 176.]],[[429. 189.]],[[414. 149.]],[[429. 188.]],[[ 94. 381.]],[[ 94. 381.]],[[ 37. 279.]],[[435. 219.]],[[414. 150.]],[[433. 209.]],[[433. 209.]],[[114. 398.]],[[115.  75.]],[[435. 221.]],[[435. 221.]],[[ 83. 370.]],[[420. 160.]],[[414. 149.]],[[ 32. 237.]]
[[410. 140.]],[[382. 101.]],[[421. 162.]],[[414. 149.]],[[420. 162.]],[[420. 161.]],[[414. 149.]],[[409. 139.]],[[433. 209.]],[[390. 110.]],[[414. 149.]],[[435. 221.]],[[414. 149.]],[[435. 221.]],[[429. 189.]],[[420. 162.]],[[433. 210.]],[[429. 189.]],[[398. 121.]],[[414. 149.]],[[399. 122.]],[[410. 140.]],[[420. 160.]],[[414. 149.]],[[414. 149.]],[[429. 188.]],[[429. 189.]],[[433. 209.]],[[420. 161.]],[[420. 161.]],[[410. 140.]],[[425. 176.]],[[429. 189.]],[[414. 149.]],[[429. 188.]],[[433. 209.]],[[410. 140.]],[[414. 149.]],[[435. 219.]],[[414. 149.]],[[433. 209.]],[[433. 209.]],[[433. 209.]],[[429. 188.]],[[435. 221.]],[[435. 221.]],[[429. 188.]],[[420. 160.]],[[414. 149.]],[[342.  67.]]
[[329. 414.]],[[327. 415.]],[[326. 416.]],[[327. 415.]],[[136. 412.]],[[327. 415.]],[[273. 434.]],[[326. 416.]],[[273. 434.]],[[332. 412.]],[[327. 415.]],[[275. 434.]],[[327. 415.]],[[136. 412.]],[[329. 414.]],[[136. 412.]],[[329. 414.]],[[274. 434.]],[[274. 434.]],[[273. 434.]],[[327. 415.]],[[327. 415.]],[[274. 434.]],[[273. 434.]],[[329. 414.]],[[330. 413.]],[[273. 434.]],[[327. 415.]],[[326. 415.]],[[135. 411.]],[[329. 414.]],[[274. 434.]],[[327. 415.]],[[326. 416.]],[[274. 434.]],[[327. 415.]],[[329. 414.]],[[327. 415.]],[[329. 414.]],[[326. 416.]],[[327. 415.]],[[330. 413.]],[[330. 413.]],[[327. 415.]],[[327. 415.]],[[326. 416.]],[[330. 413.]],[[327. 415.]],[[327. 415.]],[[329. 414.]]
[[115. 399.]],[[115. 399.]],[[115. 399.]],[[115. 399.]],[[115. 399.]],[[ 37. 279.]],[[ 32. 237.]],[[ 32. 237.]],[[114. 398.]],[[125. 404.]],[[124. 404.]],[[114. 398.]],[[114. 398.]],[[ 37. 279.]],[[ 45. 307.]],[[ 32. 237.]],[[ 44. 305.]],[[ 70. 353.]],[[114. 398.]],[[ 53. 326.]],[[ 33. 255.]],[[ 37. 280.]],[[125. 404.]],[[114. 398.]],[[124. 403.]],[[ 53. 325.]],[[ 60. 339.]],[[ 37. 280.]],[[ 45. 306.]],[[ 60. 339.]],[[ 53. 325.]],[[115. 399.]],[[114. 398.]],[[114. 398.]],[[ 36. 278.]],[[ 32. 237.]],[[125. 404.]],[[ 45. 307.]],[[ 83. 370.]],[[125. 404.]],[[114. 398.]],[[125. 404.]],[[124. 404.]],[[125. 404.]],[[ 36. 278.]],[[114. 398.]],[[ 53. 326.]],[[115. 399.]],[[114. 398.]],[[ 37. 279.]]
[[382. 101.]],[[410. 140.]],[[330.  59.]],[[414. 149.]],[[342.  67.]],[[410. 140.]],[[414. 149.]],[[409. 139.]],[[329.  58.]],[[125. 404.]],[[329.  58.]],[[435. 221.]],[[399. 122.]],[[410. 139.]],[[421. 162.]],[[340.  65.]],[[410. 139.]],[[340.  65.]],[[389. 109.]],[[329.  58.]],[[410. 140.]],[[382. 101.]],[[340.  65.]],[[329.  58.]],[[410. 140.]],[[341.  66.]],[[342.  67.]],[[421. 162.]],[[341.  66.]],[[330.  59.]],[[329.  58.]],[[420. 161.]],[[410. 140.]],[[414. 149.]],[[421. 162.]],[[433. 209.]],[[410. 140.]],[[340.  65.]],[[435. 221.]],[[414. 149.]],[[329.  58.]],[[429. 189.]],[[340.  65.]],[[433. 209.]],[[435. 219.]],[[435. 221.]],[[435. 220.]],[[410. 140.]],[[342.  67.]],[[420. 161.]]
[[122.  70.]],[[122.  69.]],[[114.  75.]],[[122.  70.]],[[113.  75.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[116.  75.]],[[114.  75.]],[[115.  75.]],[[122.  69.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[112.  76.]],[[114.  75.]],[[122.  69.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[122.  70.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[115.  75.]],[[114.  75.]],[[115.  75.]],[[114.  75.]],[[115.  75.]],[[114.  75.]],[[113.  76.]],[[114.  75.]],[[122.  70.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[114.  75.]],[[116.  75.]],[[115.  75.]],[[112.  76.]],[[115.  75.]],[[115.  75.]],[[115.  75.]],[[113.  75.]],[[114.  75.]]
